scientific_name,pronunciation,common_name,family_name,plant_type,key_id_features,habit,form,texture,height,spread,growth_rate,origin,climate,exposure,soil_or_growing_medium,water,landscape_uses,additional_info,leaf_form,leaf_arrangement,leaf_texture,leaf_surfaces,leaf_colour_in_summer,leaf_colour_in_fall,leaf_shapes,leaf_apices,leaf_bases,leaf_margins,inflorescence_type,petal_colour,flower_scent,flower_time,fruit_type,fruit_colour,fruiting_time,bark_morphology,bark_or_stem_colour,propagation,pest_susceptibility
Acanthus mollis,uh-KAN-thus MOLL-iss,common bear's breeches,Acanthaceae,Herbaceous perennial,"Leaves shiny, dark green, blades up to 40 cm long and 25 cm wide with a long petiole; florets up to 5 cm long with purple ""helmet"", on a cylindrical spike 30–40 cm long.",,Round,Coarse,0.7 - 1.3m,0.6 - 1.0m,Moderate,"Africa, Europe",Zone 7: (-18 to -12 C),"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",,Accent plant,"Not showy, (two locules)","Lobed, Simple",Basal,"Pinnate venation, Soft flexible",Lustrous,Dark-green,Yellow,"Elliptic, Ovate",Obtuse,Obtuse,"Dentate, Pinnately lobed",Raceme,"Showy, White, Purple",,"Jun, Jul",Capsule,,,,,"Seed, Division - below ground parts","Pest resistant, Fungal leaf spot, Rabbit resistant"
Acer x freemanii 'Armstrong',AY-sur ex free-MUN-ee-eye,"Freeman maple, columnar red maple",Sapindaceae,Tree - deciduous,"Narrowly upright and columnar growth habit; leaves about 10 cm wide, 3-5 palmate lobes, coarsely toothed, pale underneath.",Upright,Oval - vertical,Medium - coarse,10 - 15m,4 - 5m,Fast,Garden origin (A. rubrum x A. saccharinum),Zone 4: (-34 to -29 C),Full sun,,,Street (boulevard tree),Google,"Lobed, Simple",Opposite,Soft flexible,Glabrous,Green,"Orange, Red",Orbicular,Acute,Truncate,Pinnately lobed,Umbel,"Not showy, Red, Pink",,Apr,Samara,"Red, Brown","May, Jun",,Bark or Stem Colour,,"Wilt, Mites"
Acer buergerianum,AY-sur bur-ger-ee-AY-num,trident maple,Sapindaceae,Tree - deciduous,Leaves usually with three forward pointing lobes,Upright,Oval - horizontal,Medium,7 - 10m,7 - 10m,,S.E. Asia / Japan / China,Zone 5: (-29 to -23 C),Full sun,"Humus rich, Well-drained",,"Small garden/space, Specimen plant, Street (boulevard tree)",racemes erect,"Lobed, Simple",Opposite,"Palmate venation, Soft flexible","Glabrous, Lustrous","Dark-green, lower surface bluish-green","Orange, Red",Obovate,Acute,Obtuse,Pinnately lobed,Raceme,Yellow,,"Mar, Apr",Samara,Brown,,,,,
Acer circinatum,AY-sur sur-sih-NAY-tum,vine maple,Sapindaceae,"Shrub - deciduous, Tree - deciduous","Leaves rounded, serrated with shallow lobes and nine major veins palmately arranged. Winter ID: fringe of fine white hairs on base of buds, green bark.","Arching, Irregular","Irregular, Vase",Medium - coarse,5 - 7m,5 - 7m,Moderate,"B.C. west of Cascades, U.S. - northwest",Zone 6: (-23 to -18 C),"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Low,"Dryland (no watering), Fall interest, Reclamation, Small garden/space, Woodland margin",Showy,"Lobed, Simple",Opposite,"Palmate venation, Soft flexible",Pubescent,Green,"Yellow, Orange, Red",Orbicular,Acute,Auriculate,"Pinnately lobed, Serrate",Corymb,"Showy, White, Red",None,"Mar, Apr",Samara,"Red, Brown","Sep, Oct","Smooth, Multi-stem trunk","Green, Red, Brown","Seed, Greenwood cuttings, Layering","Disease resistant, Anthracnose"
Acer glabrum var. douglasii,AY-sur GLAY-brum variety dug-LUS-ee-eye,"Douglas maple, Rocky Mountain maple",Sapindaceae,Tree - deciduous,Often a shrubby tree; leaves coarsely double-toothed; samara wings nearly parallel.,Upright,Oval - vertical,Coarse,7 - 10m,,Moderate,"B.C. east of Cascades, B.C. west of Cascades, U.S. - northwest, U.S. - southwest",Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade",Well-drained,Wetlands,"Fall interest, Native planting, Shade tree, Small garden/space, Waterside planting, Woodland margin",bark rough with age; twigs light green to reddish brown or purple,"Lobed, Simple",Opposite,Soft flexible,"Glabrous, Lustrous","Dark-green, leaves grayish green on the underside","Yellow, Orange, Red",Obovate,Acuminate,"Cordate, Cuneate","Double serrate, Pinnately lobed","Floriferous, Corymb","Not showy, Green-yellow",None,Apr,Samara,"Brown, (often rose color before maturing to brown: hairless)",Aug,"Showy, Smooth, Multi-stem trunk","Grey, Red, Brown",Seed,"Pest resistant, Disease resistant"
Acer griseum,AY-sur GRIZZ-ee-um,paperbark maple,Sapindaceae,Tree - deciduous,"Bark cinnamon (orange-red), papery, exfoliating; leaves lobed, bright red fall colour. Winter ID: buds sharply pointed, dark purplish-brown.","Open, Spreading, Twiggy","Oval - vertical, Round",Medium,7 - 10m,5 - 7m,Slow,S.E. Asia / Japan / China,Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade","Acidic, Well-drained",Moderate,"Accent plant, Fall interest, Small garden/space, Specimen plant, Winter interest","Not showy, seed < 1 cm long",Compound,Opposite,Soft flexible,Glabrous,"Bluish, Dark-green, greyish undersides",Red,"Elliptic, Obovate",Acute,"Attenuate, Oblique (uneven), Obtuse",Dentate,Corymb,"Not showy, Green, Yellow",None,"Mar, Apr",Samara,"Green-yellow, Brown","Jun, Jul","Showy, Papery, Exfoliating","Orange, Red, Brown","Seed, Greenwood cuttings, Hardwood cuttings","Pest resistant, Disease resistant, Galls, Heart rot, Mites, Root rot"
Acer japonicum 'Aconitifolium',AY-sur juh-PON-ih-kum,fernleaf maple,Sapindaceae,Tree - deciduous,"Leaves long, ovate lobes, acuminate, doubly serrate, highly dissected, palmately cut. Winter ID: buds look like a moose hoof with hair around the base.","Open, Spreading, Twiggy, Upright",Oval - horizontal,Medium,3 - 5m,5 - 7m,Moderate,,Zone 5: (-29 to -23 C),"Filtered shade, Part sun/part shade","Humus rich, Well-drained",Moderate,"Accent plant, Container planting, Fall interest, Shade tree, Small garden/space, Specimen plant, Woodland margin",Showy,"Lobed, Simple",Opposite,Soft flexible,Lustrous,Green,Red,"Orbicular, Ovate",Acuminate,,"Dentate, Incised, Pinnately lobed","Floriferous, Corymb","Showy, Purple, Red",None,Apr,Samara,Brown,"Sep, Oct",Smooth,n/a,"Cuttings, Grafting","Aphids or adelgids, Canker or sap rot, Caterpillar or cutworm, Fungal leaf spot, Galls, Heart rot, Mites, Root rot, Scale insects, Wilt"
Acer macrophyllum,AY-sur mack-roe-FILL-um,bigleaf maple,Sapindaceae,Tree - deciduous,"Habit is low branching; leaves large (30cm), mid-green, palmate with 5 lobes (3 major lobes); florets in pendulous racemes. Winter ID: buds large (10mm), green, opposite; samaras large, covered with hairs.",Open,"Oval - horizontal, Round",Very coarse,> 30m,> 25m,Moderate,B.C. west of Cascades,Zone 6: (-23 to -18 C),Full sun,Acidic,Moderate,Shade tree,Google,"Lobed, Simple",Opposite,"Palmate venation, Soft flexible",Glabrous,Green,"Yellow, Orange","Deltoid, Orbicular",Acute,Cordate,Dentate,Raceme,"Showy, Yellow",Fragrant,"Apr, May",Samara,Brown,"Sep, Oct",Deeply fissured,"Grey, Brown",Seed,"Pest resistant, Disease resistant, Fungal leaf spot, Heart rot"
Acer negundo 'Variegatum',AY-sur neg-UN-doe,variegated box elder,Sapindaceae,Tree - deciduous,"Leaves opposite, compound, odd-pinnate with 3 (-5) toothed leaflets; flowers greenish-yellow, in pendant clusters, male or female (dioeciou); samaras ripen in fall, persistent.",Upright,Round,Medium,10 - 15m,7 - 10m,,Garden origin,Zone 2: (-46 to -40 C),"Full sun, Part sun/part shade",,,"Dryland (no watering), Street (boulevard tree)",Persistent,Compound,Opposite,Soft flexible,Glabrous,"Green, Nearly White",Yellow,Obovate,Acute,Attenuate,Dentate,Raceme,"Not showy, Green-yellow",,"Apr, May",Samara,Brown,"Sep, Oct","Lightly fissured, Plated","Brown, Grey",,"Stem borer insects, Canker or sap rot, Anthracnose, Mildew"
Acer palmatum Atropurpureum Group,AY-sur pal-MAY-tum,red-leaf Japanese maple,Sapindaceae,Tree - deciduous,"Leaves simple, palmately 5-7 lobed, simple, red-purple, serrated margin; stems new growth purple. Winter ID: buds, ovoid, have light brown hairs on a papery sheath that extends halfway up.","Spreading, Upright",Round,Medium - fine,5 - 7m,7 - 10m,Slow,,Zone 6: (-23 to -18 C),Part sun/part shade,"Acidic, Well-drained",Moderate,Specimen plant,4 - 12 cm long,"Lobed, Simple",Opposite,"Palmate venation, Soft flexible",Glabrous,Red,"Orange, Red",Ovate,Acuminate,Cordate,Double serrate,Corymb,"Not showy, Dark-red",None,"Apr, May",Samara,Dark-red,"Sep, Oct","Smooth, Lightly fissured","Grey, Red","Seed, Softwood cuttings, Grafting","Dieback, Wilt"
Acer palmatum Dissectum Atropurpureum Group,AY-sur pal-MAY-tum,dissected red Japanese maple,Sapindaceae,Shrub - deciduous,"Slow-growing shrub, broadly arching; leaves opposite, finely toothed, deeply lobed or palmately compound, deep purple, turning bright red or orange in fall.",Arching,Weeping,Medium - fine,1.3 - 2.0m,2 - 3m,,"Garden origin, S.E. Asia / Japan / China",Zone 5: (-29 to -23 C),"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,,"Container planting, Fall interest, Small garden/space, Specimen plant, Summer interest",Not showy,"Compound, Dissected, Lobed, Simple",Opposite,Soft flexible,Glabrous,"Purple, Dark-red",Orange,Elliptic,Acute,Attenuate,"Incised, Pinnately lobed",Cyme,"Not showy, Red",None,"Mar, Apr",Samara,Red,"Jul, Aug",Lightly fissured,Brown,,
Acer palmatum,AY-sur pal-MAY-tum,Japanese maple,Sapindaceae,Tree - deciduous,"Leaves red-tipped, palmate (most with 7 broad lobes). Winter ID: buds, ovoid, have light brown hairs on a papery sheath that extends halfway up.",Upright,Vase,Medium,2 - 3m,3 - 4m,Slow,Garden origin,Zone 6: (-23 to -18 C),Full sun,,,Small garden/space,Not showy,"Lobed, Simple",Opposite,Soft flexible,Glabrous,,,Ovate,Acute,Truncate,Serrate,,"Red, Yellow",,,Samara,,,,Bark or Stem Colour,,Wilt
Acer palmatum 'Shishio',AY-sur pal-MAY-tum,Chishio Japanese maple,Sapindaceae,Tree - deciduous,"Small, upright Japanese maple with 7-lobed serrated leaves turning from red (spring) to green (summer) to red (fall).",Upright,Round,,2 - 3m,2 - 3m,,Garden origin,Zone 6: (-23 to -18 C),,,,"Fall interest, Small garden/space, Spring interest","Spectacular fall colour, most leaves with 7 lobes","Lobed, Simple",Opposite,Soft flexible,Glabrous,"Green, Red",Red,Orbicular,Acute,Cordate,"Pinnately lobed, Serrate",,"Purple, Red",,"Mar, Apr",Samara,Red,,,,,
Acer palmatum 'Shojo Nomura',AY-sur pal-MAY-tum,Shojo Nomura maple,Sapindaceae,Tree - deciduous,"Small tree with red, 5 to 7 lobed serrated leaves about 6 cm wide.",Upright,Oval - vertical,Medium,3 - 5m,2 - 3m,Slow,Garden origin,Zone 6: (-23 to -18 C),Full sun,,,"Small garden/space, Summer interest",Showy,"Lobed, Simple",Opposite,Soft flexible,Glabrous,Red,Red,Orbicular,,,"Pinnately lobed, Serrate",,"Not showy, Red",,,Samara,Red,,,Bark or Stem Colour,,
Acer palmatum 'Tsuma Beni',AY-sur pal-MAY-tum,red nail maple,Sapindaceae,Tree - deciduous,"Leaves red-tipped, palmate (most with 7 broad lobes).",Upright,Vase,Medium,2 - 3m,3 - 4m,Slow,Garden origin,Zone 6: (-23 to -18 C),Full sun,,,Small garden/space,Not showy,"Lobed, Simple",Opposite,Soft flexible,Glabrous,,,Ovate,Acute,Truncate,Serrate,,"Not showy, Yellow, Red",,,Samara,,,,,,
Acer palmatum 'Koto No Ito',AY-sur pal-MAY-tum,Koto No Ito maple,Sapindaceae,Tree - deciduous,"Leaves deeply dissected, palmate with 3 to 5 narrow, jagged-edged lance-shaped leaflets (reminiscent of cannabis); samaras persistant, red and green.","Dense, Spreading, Twiggy",Round,Medium - fine,3 - 5m,4 - 5m,Moderate,,Zone 6: (-23 to -18 C),"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Acidic, Humus rich, Well-drained",Moderate,"Accent plant, Container planting, Fall interest, Mixed shrub border, Screening, Shade tree, Small garden/space, Specimen plant, Woodland margin","Showy, Persistent","Lobed, Simple",Opposite,"Palmate venation, Soft flexible",Glabrous,Green,"Yellow, Orange, Red","Lanceolate, Other",Acuminate,Cuneate,"Double serrate, Pinnately lobed",Corymb,"Not showy, Dark-red",None,"May, Jun",Samara,"Green, Red, Brown","Sep, Oct",Lightly fissured,,"Seed, Cuttings, Grafting","Fungal leaf spot, Heart rot, Mites, Root rot, Scale insects, Wilt"
Acer pensylvanicum,AY-sur pen-sill-VAY-nih-kum,moosewood maple,Sapindaceae,Tree - deciduous,"Leaves 3 forward-pointing lobes. Winter ID: buds opposite, oval, red; bark striped green/black.","Spreading, Twiggy, Upright",Oval - vertical,Medium - coarse,7 - 10m,5 - 7m,Moderate,,Zone 4: (-34 to -29 C),"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Moderate,"Accent plant, Shade tree, Specimen plant, Spring interest, Street (boulevard tree), Tall background, Wildlife food, Wind break, Winter interest",Green and white stripped bark,"Lobed, Simple",Opposite,Soft flexible,Glabrous,Green-yellow,Yellow,"Deltoid, Ovate",Acuminate,Cordate,Double serrate,"Floriferous, Raceme","Showy, Green-yellow",None,May,Samara,Brown,"Sep, Oct","Showy, Smooth","White, Green, Red","Seed, Cuttings",
Acer platanoides,AY-sur pla-tan-OY-dees,Norway maple,Sapindaceae,"Invasive plant, Tree - deciduous","Leaves palmate with 5 lobes deeply incised, looks like Canadian flag leaf; petiole is long, broken leaf veins or petiole ooze milky sap. Winter ID: buds opposite, large, plump green/burgundy; samaras held at wide angle.",Upright,"Oval - vertical, Round",Medium - coarse,22 - 30m,10 - 15m,Moderate,Europe,Zone 4: (-34 to -29 C),Full sun,Well-drained,Moderate,Specimen plant,"wings to 5 cm long; two seeded, flattened 10-15 mm x 3 mm","Lobed, Simple",Opposite,Soft flexible,Glabrous,"Green, cv. 'Princeton Gold' has bright yellow foliage",Yellow,Ovate,Acuminate,,Dentate,Corymb,"Not showy, Green, Yellow",None,"May, Jun",Samara,Brown,"Sep, Oct",Lightly fissured,"Grey, Brown, Black","Seed, Softwood cuttings","Anthracnose, Wilt"
Acer platanoides 'Crimson King',AY-sur pla-tan-OY-dees,Crimson King Norway maple,Sapindaceae,Tree - deciduous,"Leaves palmate with 5 lobes deeply incised, dark red, looks like Canadian flag leaf; petiole is long, broken leaf veins or petiole ooze milky sap. Winter ID: buds opposite, large, plump green/burgundy; samaras held at wide angle.",,,,22 - 30m,10 - 15m,Fast,"Europe, Garden origin",Zone 3: (-40 to -34 C),"Full sun, Part sun/part shade","Humus rich, Well-drained",,"Dryland (no watering), Street (boulevard tree)",Google Images,"Lobed, Simple",Opposite,,,"Purple, Dark-red, dark purple when mature",Purple,Ovate,,,"Dentate, Pinnately lobed",Corymb,"Yellow, Red, (sepals red-tinged)",,,Samara,Dark-red,,,,,"Aphids or adelgids, Canker or sap rot, Caterpillar or cutworm, Mildew, Wilt"
